date,product,region,units,revenue
2026-08-02,Croissant,South,11,96.69
2026-08-02,Salad,South,9,37.53
2026-08-02,Sandwich,East,10,20.80
2026-08-02,Muffin,South,11,50.16
2026-08-02,Smoothie,North,11,105.16
2026-08-02,Cappuccino,South,2,14.60
2026-08-02,Latte,North,9,42.93
2026-08-02,Latte,North,2,9.64
2026-08-02,Espresso,South,6,19.44
2026-08-02,Sandwich,West,8,26.08
2026-08-02,Muffin,North,7,53.76
2026-08-02,Sandwich,North,6,42.42
2026-08-02,Croissant,East,3,26.04
2026-08-02,Salad,South,6,46.62
2026-08-02,Muffin,South,7,25.97
2026-08-02,Latte,East,1,7.42
2026-08-02,Smoothie,West,9,55.35
2026-08-02,Muffin,West,3,13.59
2026-08-02,Croissant,South,3,12.12
2026-08-02,Salad,North,2,8.12
2026-08-02,Smoothie,South,7,18.76
2026-08-02,Sandwich,West,11,82.17
2026-08-02,Sandwich,East,5,41.35
2026-08-02,Sandwich,Central,8,34.16
2026-08-02,Latte,Central,7,14.77
2026-08-02,Smoothie,Central,8,76.96
2026-08-02,Latte,South,4,26.92
2026-08-02,Latte,South,3,15.15
2026-08-02,Salad,Central,6,31.14
2026-08-02,Muffin,North,9,81.99
2026-08-02,Croissant,East,10,36.90
2026-08-02,Latte,Central,8,18.80
2026-08-02,Salad,North,7,46.76
2026-08-02,Croissant,West,1,8.48
2026-08-02,Smoothie,South,2,18.80
2026-08-02,Muffin,North,5,25.65
2026-08-02,Espresso,South,7,34.65
2026-08-02,Espresso,West,6,45.60
2026-08-02,Espresso,East,6,16.56
2026-08-02,Cappuccino,South,7,40.18
2026-08-02,Sandwich,West,5,20.30
2026-08-02,Cappuccino,West,7,17.99
2026-08-02,Salad,Central,11,32.12
2026-08-02,Sandwich,East,11,37.62
2026-08-02,Salad,South,8,40.88
2026-08-02,Croissant,Central,11,99.66
2026-08-02,Sandwich,Central,6,19.56
2026-08-02,Espresso,West,8,18.48
2026-08-02,Smoothie,North,7,55.37
2026-08-02,Croissant,East,8,74.40
2026-08-02,Cappuccino,South,2,10.36
2026-08-02,Salad,South,11,42.13
2026-08-02,Salad,North,5,35.00
2026-08-02,Latte,East,7,14.21
2026-08-02,Latte,South,9,72.90
2026-08-02,Smoothie,Central,5,23.05
2026-08-02,Latte,North,1,2.66
2026-08-02,Sandwich,West,3,18.12
2026-08-02,Latte,East,11,49.61
2026-08-02,Smoothie,South,7,18.97
2026-08-02,Muffin,North,5,24.85
2026-08-02,Espresso,West,3,28.41
2026-08-02,Croissant,Central,6,28.92
2026-08-02,Espresso,West,9,22.05
2026-08-02,Croissant,Central,6,32.58
2026-08-02,Espresso,Central,11,73.70
2026-08-02,Latte,South,10,22.30
2026-08-02,Espresso,West,10,71.80
2026-08-02,Smoothie,North,9,83.79
2026-08-02,Sandwich,North,9,77.85
2026-08-02,Sandwich,Central,1,6.95
2026-08-02,Smoothie,Central,2,16.46
2026-08-02,Latte,North,3,15.60
2026-08-02,Cappuccino,Central,8,25.68
2026-08-02,Latte,South,4,28.16
2026-08-02,Salad,Central,8,65.36
2026-08-02,Latte,Central,4,31.00
2026-08-02,Smoothie,West,1,2.52
2026-08-02,Salad,South,9,39.78
2026-08-02,Salad,North,11,33.00
2026-08-02,Espresso,East,1,4.83
2026-08-02,Smoothie,West,6,54.18
2026-08-02,Sandwich,North,8,27.92
2026-08-02,Croissant,South,7,35.91
2026-08-02,Muffin,South,9,77.85
2026-08-02,Salad,North,7,23.10
2026-08-02,Cappuccino,East,5,29.65
2026-08-02,Smoothie,South,4,37.00
2026-08-02,Latte,South,10,28.60
2026-08-02,Cappuccino,East,8,40.40
2026-08-02,Latte,Central,9,58.50
2026-08-02,Espresso,East,4,34.24
2026-08-02,Muffin,North,11,74.91
2026-08-02,Muffin,Central,7,37.73
2026-08-02,Espresso,North,6,58.74
2026-08-02,Cappuccino,West,7,46.13
2026-08-02,Cappuccino,East,4,23.48
2026-08-02,Muffin,East,3,6.69
2026-08-02,Sandwich,North,6,16.56
2026-08-02,Salad,East,11,105.27
2026-08-02,Croissant,West,6,56.28
2026-08-02,Sandwich,East,4,34.32
2026-08-02,Salad,West,7,32.69
2026-08-02,Smoothie,North,5,22.05
2026-08-02,Muffin,Central,3,16.80
2026-08-02,Latte,Central,6,36.30
2026-08-02,Muffin,East,1,2.91
2026-08-02,Smoothie,East,9,52.65
2026-08-02,Muffin,West,3,15.99
2026-08-02,Croissant,East,2,13.36
2026-08-02,Smoothie,Central,10,94.90
2026-08-02,Espresso,South,3,27.03
2026-08-02,Salad,East,2,11.60
2026-08-02,Espresso,Central,4,36.60
2026-08-02,Sandwich,South,8,53.20
2026-08-02,Muffin,North,3,10.35
2026-08-02,Croissant,Central,5,19.10
2026-08-02,Espresso,West,9,39.15
2026-08-02,Espresso,East,1,3.00
2026-08-02,Sandwich,North,7,34.79
2026-08-02,Cappuccino,South,1,5.00
2026-08-02,Latte,South,8,39.92
2026-08-02,Smoothie,East,4,26.72
2026-08-02,Latte,West,10,30.80
2026-08-02,Croissant,Central,4,33.72
2026-08-02,Croissant,Central,5,14.30
2026-08-02,Croissant,South,5,14.05
2026-08-02,Croissant,South,10,65.40
2026-08-02,Latte,Central,10,62.30
2026-08-02,Croissant,North,10,44.70
2026-08-02,Sandwich,North,11,37.95
2026-08-02,Salad,Central,5,32.30
2026-08-02,Latte,West,10,51.90
