date,product,region,units,revenue
2026-07-31,Latte,East,8,25.04
2026-07-31,Sandwich,East,2,8.20
2026-07-31,Latte,South,2,16.18
2026-07-31,Croissant,South,6,27.36
2026-07-31,Salad,East,6,13.68
2026-07-31,Espresso,West,5,16.10
2026-07-31,Espresso,West,9,56.88
2026-07-31,Sandwich,East,2,18.50
2026-07-31,Cappuccino,East,3,6.99
2026-07-31,Muffin,Central,10,20.30
2026-07-31,Latte,North,9,45.72
2026-07-31,Sandwich,North,1,8.25
2026-07-31,Cappuccino,West,3,24.54
2026-07-31,Muffin,East,2,4.72
2026-07-31,Sandwich,West,1,5.36
2026-07-31,Cappuccino,South,3,6.33
2026-07-31,Espresso,East,1,7.75
2026-07-31,Croissant,East,1,8.38
2026-07-31,Salad,North,6,12.42
2026-07-31,Sandwich,North,1,2.51
2026-07-31,Croissant,South,11,103.73
2026-07-31,Cappuccino,North,7,16.52
2026-07-31,Muffin,East,5,41.70
2026-07-31,Muffin,West,4,37.04
2026-07-31,Smoothie,South,1,9.05
2026-07-31,Espresso,East,8,26.40
2026-07-31,Latte,North,4,32.84
2026-07-31,Muffin,Central,3,20.19
2026-07-31,Sandwich,South,9,66.42
2026-07-31,Sandwich,North,7,69.44
2026-07-31,Espresso,South,4,37.72
2026-07-31,Latte,East,3,6.93
2026-07-31,Smoothie,North,5,13.75
2026-07-31,Cappuccino,West,2,9.14
2026-07-31,Espresso,Central,10,20.70
2026-07-31,Smoothie,Central,10,39.00
2026-07-31,Sandwich,West,4,25.44
2026-07-31,Latte,North,3,13.14
2026-07-31,Smoothie,West,3,28.41
2026-07-31,Latte,South,2,18.14
2026-07-31,Sandwich,North,7,45.15
2026-07-31,Smoothie,East,7,35.91
2026-07-31,Croissant,East,4,38.84
2026-07-31,Latte,North,11,93.28
2026-07-31,Smoothie,West,1,3.45
2026-07-31,Croissant,North,5,33.65
2026-07-31,Smoothie,North,11,106.81
2026-07-31,Muffin,Central,4,25.36
2026-07-31,Cappuccino,South,10,79.80
2026-07-31,Latte,Central,6,50.58
2026-07-31,Cappuccino,South,8,28.16
2026-07-31,Espresso,East,10,71.20
2026-07-31,Salad,Central,9,81.36
2026-07-31,Smoothie,Central,11,63.03
2026-07-31,Latte,West,2,13.40
2026-07-31,Espresso,Central,6,46.02
2026-07-31,Sandwich,South,4,24.68
2026-07-31,Muffin,North,6,49.86
2026-07-31,Espresso,South,11,26.62
2026-07-31,Cappuccino,South,4,13.48
2026-07-31,Cappuccino,East,10,57.60
2026-07-31,Smoothie,South,9,65.70
2026-07-31,Latte,Central,10,44.90
2026-07-31,Croissant,Central,7,48.30
2026-07-31,Smoothie,South,1,5.77
2026-07-31,Smoothie,North,11,99.55
2026-07-31,Espresso,Central,4,26.56
2026-07-31,Sandwich,Central,5,37.05
2026-07-31,Salad,North,4,38.08
2026-07-31,Espresso,West,4,29.04
2026-07-31,Cappuccino,South,6,29.52
2026-07-31,Muffin,South,7,50.05
2026-07-31,Latte,Central,8,22.40
2026-07-31,Cappuccino,North,4,39.32
2026-07-31,Latte,North,7,33.67
2026-07-31,Smoothie,North,8,22.96
2026-07-31,Sandwich,West,8,28.72
2026-07-31,Muffin,East,10,48.50
2026-07-31,Salad,East,5,17.80
2026-07-31,Croissant,West,6,44.28
2026-07-31,Latte,South,11,83.27
2026-07-31,Sandwich,South,6,51.00
2026-07-31,Croissant,Central,7,56.07
2026-07-31,Espresso,East,6,53.28
2026-07-31,Muffin,East,5,16.55
2026-07-31,Croissant,South,1,9.62
2026-07-31,Croissant,North,6,46.32
2026-07-31,Croissant,Central,3,25.14
2026-07-31,Latte,Central,11,66.11
2026-07-31,Sandwich,Central,10,70.70
2026-07-31,Espresso,North,6,27.60
2026-07-31,Smoothie,East,10,70.00
2026-07-31,Latte,South,2,10.04
2026-07-31,Sandwich,North,2,4.08
